央视频道,#genre#
NewTV动作电影,http://111.12.101.22:6610/PLTV/77777777/224/3221225703/index.m3u8?%24
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
电影_动作电影,http://cfss.cc/cdn/hy/11602077.flv
泡面微剧场,https://www.goodiptv.club/huya/18368221
【电影】顶级动作电影,https://live.metshop.top/yy/24923327
影视剧场,https://live.metshop.top/yy/1355260855
【电影】顶级动作电影,https://live.metshop.top/yy/24923327
影视剧场,https://live.metshop.top/yy/1355260855
动漫剧场,http://43.138.170.29:35455/douyu/7620081
都市剧场,http://tv.twwhwn.cn:4022/udp/239.45.3.136:5140 
都市剧场,http://222.71.11.180:4022/udp/239.45.3.136:5140
欢笑剧场,http://222.71.11.180:4022/udp/239.45.3.196:5140
欢笑剧场,http://222.71.11.180:4022/udp/239.45.1.4:5140
都市剧场,http://222.70.172.214:4022/udp/239.45.3.136:5140
欢笑剧场,http://222.70.172.214:4022/udp/239.45.1.4:5140
欢笑剧场,http://222.70.172.214:4022/udp/239.45.3.196:5140
SITV欢笑剧场,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000016/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000016&livemode=1&stbId=3
SITV欢笑剧场,http://zteres.sn.chinamobile.com:6060/000000001000/5000000002000009455/1.m3u8?channel-id=bestzb&Contentid=5000000002000009455&livemode=1&stbId=3
SITV欢笑剧场,http://zteres.sn.chinamobile.com:6060/000000001000/5000000007000010001/1.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
SITV都市剧场,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000015/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000015&livemode=1&stbId=3
SITV都市剧场,http://zteres.sn.chinamobile.com:6060/000000001000/5000000002000004412/1.m3u8?channel-id=bestzb&Contentid=5000000002000004412&livemode=1&stbId=3
SITV都市剧场,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031111/1.m3u8?channel-id=bestzb&Contentid=5000000011000031111&livemode=1&stbId=3
